title,Description,Genre,Runtime (Minutes),year,Release Date,Rating,Studio,Language,Closed Caption,Own,My Rating,Community Rating,Rotten Tomatoes Rating,Purchase Date,MA Import/Export Status,MA,id
101 Dalmatians,"Unleashing every ounce of Disney magic, 101 DALMATIANS thrilled audiences of all ages with fast-paced adventure and comedy -- featuring a brilliant performance by five-time Academy Award**-nominee Glenn Close as Cruella De Vil. Achieving new heights of hilarity, Disney's all-time classic puppy tale came to life as a worldwide box office sensation. In their small London flat, Dalmatians Pongo and Perdy, and their human ""pets"" Roger and Anita, are overjoyed by the arrival of 15 puppies. But when the spotted-fur-loving Ms. De Vil and her clumsy cohorts, Jasper and Horace, dognap the litter -- along with every other Dalmatian pup in London -- Pongo and Perdy must rally the town's animals to their rescue. The plan hurls them toward a thrilling climax filled with uproarious moments as the puppies attempt to outwit their captors and bring on a final showdown with Cruella! Packed with the largest and cutest collection of puppies ever brought to film, 101 DALMATIANS also features a superb cast of talented humans, including Jeff Daniels, Joely Ruchardson, and Joan Plowright. Now you can bring home Disney's live-action comedy hit, praised by critics as nothing short of ""phenomenal!""","Comedy, Adventure, Kids",103,1996,11/27/1996,G,Walt Disney Studios,English,English,HDX,0,4.2,39%,5/31/2026,,Yes,135894
101 Dalmatians (1961),"Walt Disney's original classic 101 DALMATIANS has charmed audiences for generations with its irresistible tail-wagging stars, memorable story and wonderful blend of humor and adventure.","Comedy, Adventure, Animation, Kids",80,1961,1/25/1961,G,Walt Disney Studios,English,English,SD,0,4.56,98%,5/31/2026,,Yes,14624
101 Dalmatians II: Patch's London Adventure,"Puppies, puppies and more puppies are packed into this entertaining and exciting sequel to Disney's classic, 101 Dalmatians.","Adventure, Animation, Kids",74,2003,1/21/2003,G,Walt Disney Studios,English,English,HDX,0,4.2,67%,5/31/2026,,Yes,30288
102 Dalmatians,"Get ready for outrageous fun in Disney's 102 DALMATIANS. It's a brand-new hilarious adventure, starring the audacious Oddball, the spotless Dalmatian puppy on a search for her rightful spots, and Waddlesworth, the wisecracking, delusional macaw who thinks he's a Rottweiler. Barking mad, this unlikely duo leads a posse of puppies on a mission to outfox the wildly wicked, ever-scheming Cruella De Vil (Glenn Close). Filled with chases, close calls, hilarious antics, and thrilling escapes all the way from London through the streets of Paris -- and a Parisian bakery -- this adventure-packed tale is wacky good fun your entire family will want to howl over again and again.","Adventure, Kids",101,2000,11/22/2000,G,Walt Disney Studios,English,English,HDX,0,4.11,30%,5/31/2026,,Yes,135895
12 Angry Men,"A hot, muggy New York City... Twelve white-male jurors try to reach a verdict in a murder trial--a case involving a Puerto Rican teenager from the slums who is accused of knifing his father to death. Eleven jurors agree that the defendant is guilty...but one man, believing the boy is innocent, sets out to convince the other jurors he's right by building a case for acquittal.",,97,1957,4/20/1957,NR,MGM,English,,HDX,0,4.69,100%,5/31/2026,,No,140962
12 Monkeys,"Cole (Bruce Willis) is sent back in time to save the human race from a deadly virus that has forced mankind into dank underground communities in the future. Along his travels, he encounters a psychiatrist (Madeleine Stowe) and a mental patient, brilliantly portrayed by Brad Pitt, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease. Believing he can obtain a pure virus sample in order to find a cure in the future, he is met with one riddle after another that puts him in a race with time. This sci-fi masterpiece from the genius mind of Terry Gilliam is a modern-day classic.","Sci-Fi, Suspense, Crime",131,1995,1/26/1995,R,Universal Studios,English,English,SD,0,4.15,88%,5/31/2026,,Yes,5903
12 Strong,"Weeks after 9/11, U.S. Special Forces go to Afghanistan ordered to take the city of Mazar Sharif. To survive, the U.S. must adopt the rudimentary tactics of the Afghan horse soldiers.","Drama, Historical, Western",130,2018,1/19/2018,R,Warner Bros.,English,English,UHD,0,4.55,50%,5/31/2026,,Yes,910334
13,"A naive young man assumes a dead man's identity in order to join an underground game of Russian roulette. He finds himself embroiled in an underworld labyrinth of power, violence, and luck. The stakes are high, but the payout is more than he can resist. His only collateral is his life and however long his luck can hold. Are his odds any better than any other player in this most deadly game?",,91,2012,1/1/2012,R,Lionsgate,English,,HDX,0,3.62,7%,5/31/2026,,No,261702
13 Hours: The Secret Soldiers of Benghazi,"From director Michael Bay, 13 HOURS: THE SECRET SOLDIERS OF BENGHAZI is the gripping true story of six elite exmilitary operators assigned to protect the CIA who fought back against overwhelming odds when terrorists attacked a U.S. diplomatic compound on September 11, 2012. When everything went wrong, six men had the courage to do what was right. Based on the nonfiction book 13 Hours: The Inside Account of What Really Happened in Benghazi by New York Times bestselling author Mitchell Zuckoff and Members of the Annex Security Team.",,145,2016,1/15/2016,R,Paramount Pictures,English,,HDX,0,4.68,52%,5/31/2026,,No,735269
1408,A man writing a book about the paranormal travels to New York and stays in a hotel room that has been said to be responsible for the death of all the guests that come to stay. Based on the short story by Stephen King.,,105,2007,6/22/2007,PG13,Lionsgate,English,,HDX,0,4.3,80%,5/31/2026,,No,688221
1776 (Director's Cut),"You'll be seeing stars and stripes as the most fascinating leaders in American history come to life in 1776, a musical about the birth of a nation! With the Boston Harbor still stained from over-taxed British tea, a revolution is brewing!",,166,1972,11/17/1972,PG,Sony Pictures,English,,HDX,0,4.59,68%,5/31/2026,,Yes,26381
2 Fast 2 Furious,"Now an ex-cop on the run, Brian O'Connor hooks into outlaw street-racing. When the Feds strong-arm him back, O'Connor's no rules, win-or-die skills are unleashed against an international drug lord. The action accelerates into a desperate race for survival!",,108,2003,6/6/2003,PG13,Universal Studios,English,,UHD,0,4.42,37%,5/31/2026,,Yes,5889
2 Movie Bundle Big/Mrs. Doubtfire (Bundle),,,,,,,,,,UHD,,,,5/31/2026,,No,1438388
20 Million Miles to Earth (Original B&W Version),"When a spaceship crash-lands off the coast of Sicily, a rescue team discovers that the crew has brought back a gelatinous mass that soon hatches and evolves into a strange bi-ped creature. Soon 20-feet tall, the creature rampages through Rome.",,83,1957,6/1/1957,NR,Sony Pictures,English,,HDX,0,3.87,75%,5/31/2026,,Yes,26279
"20,000 Leagues Under the Sea","In 1866, Professor Pierre M. Aronnax (Paul Lukas) and his assistant Conseil (Peter Lorre), stranded in San Francisco by reports of a giant sea monster attacking ships in the Pacific Ocean, are invited to join an expedition to search for the creature. During the search, they and harpooner Ned Land (Kirk Douglas) are thrown overboard during an attack, eventually discovering that the supposed monster is actually a submarine piloted by the brilliant but haunted Captain Nemo (James Mason).","Drama, Adventure, Fantasy, Kids",128,1954,5/20/1954,G,Walt Disney Studios,English,English,HDX,0,4.36,91%,5/31/2026,,Yes,31815
2001: A Space Odyssey,The sci-fi masterpiece from acclaimed director Stanley Kubrick about a space voyage to Jupiter that turns chaotic when a computer enhanced with artificial intelligence takes over.,,149,1968,4/6/1968,G,Warner Bros.,English,,UHD,0,4.24,90%,5/31/2026,,Yes,9000
